66.249.65.34 - - [24/Apr/2025:00:01:32 +0700] "GET /robots.txt HTTP/1.1" 404 1640 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.35 - - [24/Apr/2025:00:01:32 +0700] "GET /images/icons/tiktok-icon.svg HTTP/1.1" 200 896 "-" "Googlebot-Image/1.0"
87.251.78.46 - - [24/Apr/2025:00:02:59 +0700] "GET / HTTP/1.1" 444 0 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0"
5.183.209.244 - - [24/Apr/2025:00:03:46 +0700] "GET / HTTP/1.1" 444 0 "-" "-"
196.251.81.56 - - [24/Apr/2025:00:10:38 +0700] "POST / HTTP/1.1" 307 13 "https://harmoniti.com" "Mozilla/5.0 (iPad; CPU OS 17_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
196.251.81.56 - - [24/Apr/2025:00:10:39 +0700] "POST /id HTTP/1.1" 200 148710 "https://harmoniti.com" "Mozilla/5.0 (iPad; CPU OS 17_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
43.159.145.149 - - [24/Apr/2025:00:13:35 +0700] "GET / HTTP/1.1" 444 0 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
207.46.13.154 - - [24/Apr/2025:00:15:33 +0700] "GET /sitemap.txt HTTP/1.1" 404 1793 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
154.81.156.54 - - [24/Apr/2025:00:17:50 +0700] "GET / HTTP/1.1" 444 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
43.157.250.210 - - [24/Apr/2025:00:21:16 +0700] "GET / HTTP/1.1" 444 0 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
185.242.226.14 - - [24/Apr/2025:00:23:36 +0700] "GET / HTTP/1.1" 200 6043 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36"
